10022010	62	79
11022010	63	88
12022010	72	95
13022010	66	90
14022010	69	85
15022010	63	84
16022010	61	92
17022010	55	94
18022010	66	95
19022010	57	85
20022010	55	91
21022010	51	86
22022010	60	86
23022010	65	90
24022010	68	90
25022010	62	92
26022010	69	96
27022010	62	81
28022010	65	90
1032010	67	90
2032010	62	88
3032010	62	92
4032010	61	97
5032010	78	96
6032010	72	93
7032010	73	96
8032010	69	97
9032010	70	95
10032010	71	97
11032010	58	85
12032010	63	82
13032010	51	88
14032010	60	92
15032010	67	92
16032010	68	93
17032010	71	98
18032010	78	97
19032010	75	96
20032010	73	95
21032010	68	88
22032010	65	90
23032010	63	94
24032010	61	81
25032010	61	91
26032010	63	93
27032010	60	92
28032010	66	97
29032010	63	92
30032010	62	88
31032010	57	92
1042010	59	79
2042010	63	89
3042010	63	95
4042010	61	92
5042010	61	92
6042010	59	86
7042010	56	95
8042010	55	91
9042010	59	85
10042010	57	83
11042010	59	92
12042010	54	88
13042010	61	90
14042010	61	91
15042010	51	88
16042010	57	76
17042010	58	90
18042010	66	92
19042010	56	78
20042010	49	90
21042010	55	92
22042010	65	92
23042010	58	91
24042010	65	84
25042010	56	83
26042010	56	83
27042010	56	83
28042010	56	83
29042010	56	83
30042010	56	83
1052010	56	83
2052010	56	83
3052010	65	96
4052010	62	93
5052010	67	94
6052010	67	86
7052010	56	85
8052010	58	82
9052010	58	78
10052010	57	87
11052010	63	91
12052010	57	90
13052010	65	89
14052010	58	85
15052010	46	75
16052010	53	78
17052010	59	95
18052010	60	93
19052010	62	91
20052010	65	93
21052010	57	92
22052010	60	93
23052010	60	80
24052010	59	84
25052010	62	82
26052010	65	94
27052010	56	94
28052010	66	89
29052010	56	88
30052010	67	95
30052010	63	93
1062010	59	92
2062010	56	89
3062010	69	93
4062010	71	97
5062010	66	92
6062010	58	90
7062010	56	88
8062010	50	84
9062010	58	83
10062010	48	76
11062010	50	78
12062010	56	88
13062010	61	95
14062010	52	75
15062010	52	87
16062010	46	89
17062010	41	91
18062010	48	90
19062010	48	88
20062010	53	82
21062010	60	94
22062010	63	92
23062010	59	86
24062010	56	95
25062010	73	96
26062010	66	91
27062010	59	88
28062010	53	93
29062010	54	84
30062010	51	89
1072010	51	84
2072010	54	75
3072010	53	83
4072010	49	87
5072010	43	86
6072010	50	75
7072010	50	92
8072010	60	90
9072010	60	92
10072010	60	90
11072010	56	87
12072010	45	88
13072010	47	89
14072010	58	87
15072010	65	90
16072010	55	90
17072010	59	88
18072010	60	91
19072010	51	82
20072010	49	89
21072010	58	94
22072010	61	95
23072010	51	88
24072010	65	94
25072010	53	89
26072010	51	82
27072010	50	75
28072010	55	85
29072010	55	95
30072010	64	84
31072010	57	85
1082010	49	81
2082010	56	71
3082010	50	83
4082010	44	70
5082010	52	94
6082010	48	92
7082010	49	87
8082010	56	95
9082010	65	91
10082010	67	93
11082010	52	91
12082010	60	89
13082010	62	90
14082010	65	87
15082010	61	90
16082010	61	88
17082010	48	86
18082010	64	94
19082010	58	83
20082010	60	88
21082010	54	95
22082010	58	91
23082010	67	93
24082010	39	94
25082010	44	95
26082010	47	90
27082010	57	91
28082010	57	95
29082010	61	91
30082010	50	84
31082010	47	89
1092010	55	76
2092010	52	92
3092010	66	96
